Administrative District,Year,Total Enrollment,Grade PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
3,2016-17,22706,1084,1405,1511,1462,1436,1360,1289,1484,1426,1305,2284,2501,2123,2036,12173,53.6,10532,46.4,1824,8,5144,22.7,7477,32.9,1135,5,7126,31.4,3977,17.5,1170,5.2,10827,47.7,44.5%
4,2016-17,13568,941,922,1004,1019,1008,1010,1022,984,970,1003,974,926,900,885,6905,50.9,6663,49.1,1035,7.6,3325,24.5,8263,60.9,321,2.4,624,4.6,3212,23.7,1416,10.4,10833,79.8,75.7%
5,2016-17,11966,1113,721,797,810,839,797,760,782,769,780,1096,947,859,896,5687,47.5,6279,52.5,456,3.8,5943,49.7,4755,39.7,284,2.4,528,4.4,2689,22.5,1055,8.8,9788,81.8,76.5%
6,2016-17,23639,1800,1755,1865,1914,1856,1928,1724,1551,1697,1832,1713,1572,1188,1244,11574,49,12065,51,327,1.4,1745,7.4,20180,85.4,231,1,1156,4.9,4555,19.3,6565,27.8,19387,82,75.6%
7,2016-17,19877,1341,1183,1336,1347,1251,1252,1221,1240,1150,1245,2003,2049,1573,1686,9285,46.7,10592,53.3,214,1.1,5235,26.3,13969,70.3,179,0.9,280,1.4,4746,23.9,3323,16.7,18154,91.3,85.9%
8,2016-17,29349,2066,2042,2252,2289,2190,2218,2230,2161,1911,2082,2191,2101,1712,1904,14276,48.6,15073,51.4,1682,5.7,6602,22.5,18827,64.1,446,1.5,1792,6.1,6953,23.7,3823,13,22891,78,73.7%
9,2016-17,36433,2614,2792,3034,2927,2856,2865,2820,2714,2625,2743,2384,2292,1901,1866,17848,49,18585,51,524,1.4,10410,28.6,24772,68,291,0.8,436,1.2,7901,21.7,8477,23.3,32386,88.9,86.6%
10,2016-17,57844,3860,4256,4379,4584,4413,4367,4289,3764,3696,3775,4828,4225,3719,3689,28184,48.7,29660,51.3,4228,7.3,9202,15.9,39943,69.1,1065,1.8,3406,5.9,11396,19.7,11890,20.6,46194,79.9,76.0%
11,2016-17,40826,3231,2852,3269,3344,3363,3391,3213,3049,3017,2999,2690,2493,1944,1971,19491,47.7,21333,52.3,3194,7.8,16311,40,16997,41.6,805,2,3519,8.6,8051,19.7,4384,10.7,29533,72.3,64.7%
12,2016-17,24354,1434,1760,1945,1952,1936,1855,1821,1686,1618,1703,1752,1862,1544,1486,11947,49.1,12407,50.9,612,2.5,6074,24.9,17002,69.8,351,1.4,315,1.3,5474,22.5,4754,19.5,21556,88.5,85.3%
13,2016-17,21878,1257,1132,1132,1196,1144,1168,1052,733,650,707,3143,3049,2666,2849,10425,47.7,11452,52.3,4335,19.8,9963,45.5,3602,16.5,745,3.4,3233,14.8,3129,14.3,967,4.4,14093,64.4,54.6%
14,2016-17,19630,1461,1258,1260,1283,1290,1303,1215,1163,1292,1283,1752,1791,1681,1598,9321,47.5,10309,52.5,910,4.6,4304,21.9,11257,57.3,365,1.9,2794,14.2,4075,20.8,2164,11,13342,68,67.1%
15,2016-17,33083,2799,3154,3190,3130,3089,3030,2809,2032,1922,1731,1764,1710,1418,1305,16679,50.4,16404,49.6,5377,16.3,4701,14.2,12233,37,1073,3.2,9699,29.3,6356,19.2,5341,16.1,17581,53.1,50.4%
16,2016-17,7209,747,506,511,574,553,558,520,360,372,364,496,453,527,668,3407,47.3,3802,52.7,137,1.9,5395,74.8,1372,19,135,1.9,170,2.4,1826,25.3,335,4.6,5858,81.3,78.7%
17,2016-17,23764,2163,1421,1386,1535,1495,1503,1478,1585,1520,1793,2004,2085,1854,1942,11747,49.4,12017,50.6,684,2.9,18087,76.1,3592,15.1,511,2.2,890,3.7,4263,17.9,2458,10.3,18589,78.2,66.8%
18,2016-17,16508,1464,1045,1120,1183,1165,1331,1178,1112,1058,1175,1171,1265,1066,1175,8058,48.8,8450,51.2,236,1.4,14284,86.5,1176,7.1,311,1.9,501,3,3030,18.4,980,5.9,12508,75.8,59.1%
19,2016-17,23428,1988,1721,1836,1792,1838,1892,1812,1690,1585,1676,1547,1451,1198,1402,11170,47.7,12258,52.3,1786,7.6,10728,45.8,10036,42.8,444,1.9,434,1.9,4868,20.8,2962,12.6,19669,84,76.6%
20,2016-17,54379,4251,4251,4091,4330,4095,4167,4102,3996,3932,3915,3645,3775,2827,3002,26126,48,28253,52,23532,43.3,1640,3,14115,26,589,1.1,14503,26.7,8099,14.9,13035,24,38214,70.3,61.9%
21,2016-17,37345,3023,2193,2237,2270,2240,2294,2043,3091,2954,2903,3492,3260,2777,2568,18194,48.7,19151,51.3,9242,24.7,5663,15.2,9346,25,650,1.7,12444,33.3,6785,18.2,6283,16.8,25175,67.4,61.3%
22,2016-17,35679,2809,2662,2804,2871,2777,2931,2782,2088,2096,2134,2710,2727,2137,2151,17580,49.3,18098,50.7,6950,19.5,11367,31.9,5422,15.2,681,1.9,11259,31.6,5895,16.5,3966,11.1,24024,67.3,52.2%
23,2016-17,9667,815,675,767,792,753,758,690,894,906,857,383,465,432,480,4480,46.3,5187,53.7,111,1.1,7228,74.8,2043,21.1,164,1.7,121,1.3,2384,24.7,444,4.6,8677,89.8,81.4%
24,2016-17,61268,4009,4914,5124,5047,5157,5083,4803,4344,4356,4258,3935,3683,3152,3403,28976,47.3,32292,52.7,12309,20.1,1642,2.7,38110,62.2,685,1.1,8522,13.9,9941,16.2,13737,22.4,42405,69.2,56.5%
25,2016-17,39383,3165,3021,2851,2956,2907,3042,2759,2815,2731,2606,3064,2811,2406,2249,19336,49.1,20047,50.9,19275,48.9,3049,7.7,11216,28.5,657,1.7,5186,13.2,5587,14.2,7335,18.6,26005,66,44.4%
26,2016-17,32963,1799,1747,1858,1857,1877,2015,1853,1912,2031,1951,4131,3618,3445,2869,16045,48.7,16918,51.3,17318,52.5,3727,11.3,5559,16.9,763,2.3,5596,17,4594,13.9,2432,7.4,18229,55.3,30.1%
27,2016-17,45691,3029,3460,3494,3672,3681,3740,3579,3590,3631,3708,2974,2581,2458,2094,21884,47.9,23807,52.1,10418,22.8,10634,23.3,17561,38.4,2334,5.1,4744,10.4,7993,17.5,4867,10.7,33911,74.2,55.0%
28,2016-17,42865,3229,2823,2937,2829,2877,2817,2653,2566,2447,2474,4045,4041,3702,3425,21126,49.3,21739,50.7,12446,29,9580,22.3,11678,27.2,2232,5.2,6929,16.2,6505,15.2,4251,9.9,28049,65.4,46.6%
29,2016-17,28174,2334,2275,2391,2232,2375,2661,2517,2276,2282,2314,1108,1207,1173,1029,13678,48.5,14496,51.5,4419,15.7,17770,63.1,4300,15.3,1161,4.1,524,1.9,4520,16,2274,8.1,20302,72.1,48.1%
30,2016-17,41440,3203,3052,3140,3109,3021,3173,3022,3441,3095,3325,3018,2652,2077,2112,20444,49.3,20996,50.7,9076,21.9,2751,6.6,22051,53.2,870,2.1,6692,16.1,5970,14.4,7141,17.2,27524,66.4,55.0%
31,2016-17,62910,4097,4520,4675,4662,4693,4687,4598,4217,4202,4379,5153,4766,4280,3981,30618,48.7,32292,51.3,5728,9.1,8179,13,17693,28.1,1343,2.1,29967,47.6,14839,23.6,3579,5.7,34627,55,42.4%
32,2016-17,12331,1222,755,885,921,959,942,976,1117,1086,1062,623,781,539,463,6050,49.1,6281,50.9,243,2,2073,16.8,9688,78.6,79,0.6,248,2,2467,20,2343,19,10457,84.8,78.4%
75,2016-17,24604,334,1294,1737,1792,1948,1852,1702,1611,1556,1524,2080,1783,1517,3874,6655,27,17949,73,1819,7.4,9076,36.9,9872,40.1,529,2.2,3308,13.4,24092,97.9,5335,21.7,15999,65,70.7%
79,2016-17,5829,0,0,0,0,0,0,0,5,21,168,460,4154,120,901,2057,35.3,3772,64.7,620,10.6,2275,39,2429,41.7,105,1.8,400,6.9,964,16.5,734,12.6,2684,46,68.8%
84,2016-17,105065,518,11049,11370,10877,10306,8426,8453,9433,8814,7195,6320,5146,3865,3293,53357,50.8,51708,49.2,2606,2.5,56490,53.8,39389,37.5,2131,2,4449,4.2,18001,17.1,7119,6.8,81394,77.5,66.9%
1,2017-18,11632,800,851,846,854,862,839,813,786,798,843,729,959,905,747,5590,48.1,6042,51.9,2517,21.6,1800,15.5,4887,42,406,3.5,2022,17.4,2446,21,1013,8.7,7547,64.9,66.3%
2,2017-18,63497,2558,3193,2961,2873,2750,2777,2864,2743,2580,2548,9515,9609,8353,8173,33172,52.2,30316,47.7,14213,22.4,9391,14.8,20623,32.5,2910,4.6,16360,25.8,10529,16.6,5348,8.4,34183,53.8,53.6%
3,2017-18,22667,1144,1295,1388,1442,1437,1401,1361,1390,1464,1427,2353,2370,2234,1961,12192,53.8,10465,46.2,1875,8.3,4873,21.5,7332,32.3,1238,5.5,7349,32.4,3877,17.1,1136,5,11093,48.9,49.4%
4,2017-18,13230,889,831,918,978,1002,990,978,1001,972,962,966,1012,856,875,6740,50.9,6487,49,1078,8.1,3196,24.2,7985,60.4,356,2.7,615,4.6,3114,23.5,1369,10.3,10835,81.9,82.4%
5,2017-18,11632,1033,677,728,753,805,829,785,740,785,782,1054,1000,802,859,5491,47.2,6139,52.8,458,3.9,5708,49.1,4570,39.3,321,2.8,575,4.9,2635,22.7,1059,9.1,9568,82.3,83.0%
6,2017-18,22701,1727,1552,1730,1763,1865,1788,1700,1530,1583,1745,1694,1391,1197,1436,11192,49.3,11508,50.7,319,1.4,1608,7.1,19316,85.1,258,1.1,1200,5.3,4343,19.1,6247,27.5,19348,85.2,83.5%
7,2017-18,19875,1779,1186,1209,1295,1290,1245,1241,1073,1217,1149,1963,1979,1616,1633,9367,47.1,10508,52.9,213,1.1,5336,26.8,13817,69.5,214,1.1,295,1.5,4602,23.2,3282,16.5,18214,91.6,91.6%
8,2017-18,28728,2077,1981,2063,2183,2210,2142,2208,2112,2160,1942,2035,1946,1794,1875,13977,48.7,14751,51.3,1703,5.9,6307,22,18504,64.4,448,1.6,1766,6.1,6655,23.2,3899,13.6,23814,82.9,82.1%
9,2017-18,35271,2521,2638,2733,2826,2785,2772,2718,2707,2659,2654,2425,2208,1839,1786,17354,49.2,17917,50.8,525,1.5,9808,27.8,24187,68.6,288,0.8,463,1.3,7624,21.6,8076,22.9,32338,91.7,92.5%
10,2017-18,56752,3743,4110,4230,4191,4335,4278,4201,3936,3825,3796,4595,4267,3617,3628,27734,48.9,29015,51.1,4343,7.7,8772,15.5,39322,69.3,854,1.5,3461,6.1,10846,19.1,11730,20.7,47181,83.1,83.1%
11,2017-18,40504,3140,2853,3076,3234,3301,3306,3416,3022,3083,3092,2725,2369,1931,1956,19337,47.7,21166,52.3,3289,8.1,15734,38.8,17067,42.1,832,2.1,3582,8.8,7829,19.3,4660,11.5,31554,77.9,75.8%
12,2017-18,23401,1418,1617,1751,1889,1873,1891,1841,1609,1705,1645,1508,1691,1508,1455,11442,48.9,11959,51.1,642,2.7,5760,24.6,16314,69.7,344,1.5,341,1.5,5106,21.8,4630,19.8,21390,91.4,92.1%
13,2017-18,21658,1261,1131,1126,1076,1123,1082,1098,733,691,622,3051,3152,2762,2750,10196,47.1,11460,52.9,4425,20.4,9493,43.8,3582,16.5,663,3.1,3495,16.1,3016,13.9,932,4.3,14175,65.4,61.9%
14,2017-18,18831,1435,1227,1211,1229,1213,1252,1235,1194,1141,1290,1596,1654,1469,1685,8968,47.6,9862,52.4,949,5,3934,20.9,10762,57.2,367,1.9,2819,15,3777,20.1,2105,11.2,13749,73,75.2%
15,2017-18,33200,2728,3117,3123,3051,3054,2994,2953,2108,1981,1914,1665,1746,1442,1324,16730,50.4,16467,49.6,5358,16.1,4642,14,12004,36.2,1201,3.6,9995,30.1,6220,18.7,5025,15.1,18871,56.8,57.7%
16,2017-18,6839,689,524,478,496,583,509,507,307,320,362,503,479,461,621,3219,47.1,3620,52.9,148,2.2,5068,74.1,1320,19.3,125,1.8,178,2.6,1700,24.9,329,4.8,5771,84.4,85.5%
17,2017-18,22534,1919,1351,1377,1328,1453,1415,1414,1499,1561,1508,1960,1989,1821,1939,11261,50,11272,50,666,3,16882,74.9,3526,15.6,543,2.4,917,4.1,3984,17.7,2452,10.9,18204,80.8,76.4%
18,2017-18,15707,1404,975,1047,1074,1160,1155,1236,1086,1113,1062,1120,1147,994,1134,7585,48.3,8122,51.7,271,1.7,13406,85.4,1176,7.5,323,2.1,531,3.4,2933,18.7,1106,7,12169,77.5,70.5%
19,2017-18,22742,1823,1670,1677,1750,1706,1835,1804,1655,1684,1574,1466,1462,1305,1331,10966,48.2,11776,51.8,1800,7.9,10012,44,10011,44,469,2.1,450,2,4607,20.3,3005,13.2,19882,87.4,86.2%
20,2017-18,54156,4119,4352,4214,4001,4221,4008,4091,4123,3998,3994,3648,3579,2711,3097,26078,48.2,28075,51.8,23563,43.5,1536,2.8,14151,26.1,605,1.1,14301,26.4,8030,14.8,12738,23.5,41557,76.7,75.4%
21,2017-18,37423,2980,2278,2187,2212,2287,2241,2223,3113,3053,2990,3347,3281,2520,2711,18120,48.4,19297,51.6,9515,25.4,5391,14.4,9270,24.8,712,1.9,12535,33.5,6634,17.7,6333,16.9,27473,73.4,72.3%
22,2017-18,35692,2788,2663,2688,2779,2824,2802,2869,2065,2130,2104,2815,2737,2293,2135,17598,49.3,18091,50.7,7171,20.1,10851,30.4,5518,15.5,737,2.1,11415,32,5855,16.4,4234,11.9,25215,70.6,63.5%
23,2017-18,9539,1047,632,683,714,766,727,694,863,878,883,352,436,394,470,4394,46.1,5145,53.9,108,1.1,7111,74.5,2032,21.3,159,1.7,129,1.4,2317,24.3,446,4.7,8568,89.8,88.3%
24,2017-18,60732,3980,4774,4852,4904,4947,5084,4768,4314,4446,4362,4090,3542,3173,3496,28782,47.4,31948,52.6,12254,20.2,1574,2.6,37797,62.2,812,1.3,8295,13.7,9866,16.2,13186,21.7,46707,76.9,71.8%
25,2017-18,39585,3098,3036,3015,2790,2906,2879,3005,2826,2796,2761,2960,2705,2490,2318,19398,49,20187,51,19490,49.2,2968,7.5,11434,28.9,724,1.8,4969,12.6,5455,13.8,7354,18.6,27655,69.9,62.1%
26,2017-18,32891,1745,1874,1745,1861,1862,1869,2026,1965,1924,2071,4034,3503,3347,3065,15967,48.5,16920,51.4,17392,52.9,3706,11.3,5651,17.2,760,2.3,5382,16.4,4634,14.1,2497,7.6,19129,58.2,45.0%
27,2017-18,44879,2994,3314,3401,3403,3575,3534,3701,3542,3602,3636,3157,2632,2228,2160,21556,48,23323,52,10230,22.8,10085,22.5,17445,38.9,2430,5.4,4689,10.4,7621,17,4996,11.1,34473,76.8,68.5%
28,2017-18,42671,3298,2751,2827,2820,2784,2845,2748,2588,2533,2474,3996,3884,3624,3499,21111,49.5,21556,50.5,12503,29.3,9100,21.3,11666,27.3,2430,5.7,6972,16.3,6318,14.8,4449,10.4,29493,69.1,60.1%
29,2017-18,27663,2343,2206,2283,2375,2231,2374,2613,2303,2206,2268,1073,1135,1076,1177,13395,48.4,14268,51.6,4446,16.1,17027,61.6,4366,15.8,1316,4.8,508,1.8,4243,15.3,2302,8.3,20417,73.8,61.4%
30,2017-18,41144,3230,2930,2989,3038,2993,2945,3141,3340,3237,3111,3029,2829,2191,2141,20309,49.4,20835,50.6,8859,21.5,2674,6.5,21888,53.2,939,2.3,6784,16.5,5868,14.3,7001,17,29409,71.5,68.9%
31,2017-18,62537,3948,4412,4610,4662,4612,4669,4645,4359,4229,4198,4941,4929,4218,4105,30610,48.9,31921,51,6232,10,7975,12.8,17771,28.4,1396,2.2,29163,46.6,14653,23.4,3837,6.1,35553,56.9,50.9%
32,2017-18,11537,1012,687,758,856,853,907,930,1004,1078,1053,581,625,582,611,5616,48.7,5921,51.3,248,2.1,1948,16.9,9000,78,87,0.8,254,2.2,2360,20.5,2239,19.4,10305,89.3,87.5%
75,2017-18,24864,325,1455,1638,1831,1838,1951,1866,1588,1636,1559,1987,1776,1544,3870,6643,26.7,18221,73.3,1971,7.9,9014,36.3,9953,40,610,2.5,3316,13.3,24459,98.4,5539,22.3,21328,85.8,88.2%
79,2017-18,5092,0,0,0,0,0,0,0,3,15,184,345,3800,105,640,1876,36.8,3216,63.2,562,11,1963,38.6,2149,42.2,105,2.1,313,6.1,879,17.3,621,12.2,3658,71.8,85.5%
84,2017-18,113528,533,11445,12016,11447,10857,10032,9584,9887,9042,8251,6784,5601,4314,3735,57761,50.9,55766,49.1,2946,2.6,60025,52.9,43171,38,2408,2.1,4978,4.4,19125,16.8,7857,6.9,88879,78.3,73.8%
