Borough,Geographical  District,Admin District,ATS Code,Location Name,Grade Level,Building Code,Building Name,Address,Building Ownership Description,Room No,Area,Function,Is school co-located?,Inside v outside,Is the space shared by any other schools?,Space used for any other purpose beside PE
K,23,23,23K323,P.S./I.S. 323,K-8,K263,P.S./I.S. 323 - Brooklyn,210 Chester Street,DOE Owned,Outdoor Yard 1,31200,Outdoor Yard,true,Outdoor,true,false
K,23,23,23K327,P.S. 327 Dr. Rose B. English,K-8,K327,P.S. 327 (Tandem K396-D75)-K,111 Bristol Street,DOE Owned,MULTI,7236,Gymnasium/Auditorium,true,Inside,true,true
K,23,23,23K327,P.S. 327 Dr. Rose B. English,K-8,K327,P.S. 327 (Tandem K396-D75)-K,111 Bristol Street,DOE Owned,Outdoor Yard 1,16603,Outdoor Yard,true,Outdoor,true,false
K,23,23,23K363,Brownsville Collaborative Middle School,Junior High-Intermediate-Middle,K298,P.S. 298 - Brooklyn,85 Watkins Street,DOE Owned,226,650,Dance Room,true,Inside,true,false
K,23,23,23K363,Brownsville Collaborative Middle School,Junior High-Intermediate-Middle,K298,P.S. 298 - Brooklyn,85 Watkins Street,DOE Owned,GYM,3816,Gymnasium,true,Inside,true,false
K,23,23,23K363,Brownsville Collaborative Middle School,Junior High-Intermediate-Middle,K298,P.S. 298 - Brooklyn,85 Watkins Street,DOE Owned,Outdoor Yard 1,8367,Outdoor Yard,true,Outdoor,true,false
K,23,23,23K392,I.S. 392,Junior High-Intermediate-Middle,K356,P.S. 156 - Brooklyn,104 Sutter Avenue,DOE Owned,223,1326,Dance Room,true,Inside,true,false
K,23,23,23K392,I.S. 392,Junior High-Intermediate-Middle,K356,P.S. 156 - Brooklyn,104 Sutter Avenue,DOE Owned,227,5104,Gymnasium,true,Inside,true,false
Q,24,24,24Q007,P.S. 007 Louis F. Simeone,Elementary,Q007,P.S. 7 - Queens,80-55 Cornish Avenue,DOE Owned,282,2820,Gymnasium,true,Inside,true,false
K,23,23,23K392,I.S. 392,Junior High-Intermediate-Middle,K356,P.S. 156 - Brooklyn,104 Sutter Avenue,DOE Owned,Outdoor Yard 1,11620,Outdoor Yard,true,Outdoor,true,false
K,23,23,23K392,I.S. 392,Junior High-Intermediate-Middle,K356,P.S. 156 - Brooklyn,104 Sutter Avenue,DOE Owned,Outdoor Yard 2,13750,Outdoor Yard,true,Outdoor,true,false
