Borough,Geographical  District,Admin District,ATS Code,Location Name,Grade Level,Building Code,Building Name,Address,Building Ownership Description,Room No,Area,Function,Is school co-located?,Inside v outside,Is the space shared by any other schools?,Space used for any other purpose beside PE
Q,24,24,24Q267,High School of Applied Communication,High school,Q735,Queens High School Complex - Q,30-20 Thomson Avenue,Tax Levy Lease,408,1281,Weight Room,true,Inside,true,false
Q,24,24,24Q267,High School of Applied Communication,High school,Q735,Queens High School Complex - Q,30-20 Thomson Avenue,Tax Levy Lease,508,1342,Weight Room,true,Inside,true,false
Q,24,24,24Q267,High School of Applied Communication,High school,Q735,Queens High School Complex - Q,30-20 Thomson Avenue,Tax Levy Lease,608,1725,Dance Room,true,Inside,true,false
Q,24,24,24Q267,High School of Applied Communication,High school,Q735,Queens High School Complex - Q,30-20 Thomson Avenue,Tax Levy Lease,708,1702,Weight Room,true,Inside,true,false
Q,24,24,24Q267,High School of Applied Communication,High school,Q735,Queens High School Complex - Q,30-20 Thomson Avenue,Tax Levy Lease,716,768,Weight Room,true,Inside,true,false
Q,24,24,24Q290,A.C.E. Academy for Scholars at the Geraldine Ferraro Campus,Elementary,Q290,The Geraldine Ferraro Campus - Queens,55-20 Metropolitan Avenue,DOE Owned,205,3050,Gymnasium/Auditorium,true,Inside,true,true
Q,24,24,24Q290,A.C.E. Academy for Scholars at the Geraldine Ferraro Campus,Elementary,Q290,The Geraldine Ferraro Campus - Queens,55-20 Metropolitan Avenue,DOE Owned,405,5185,Gymnasium,true,Inside,true,false
Q,24,24,24Q293,Civic Leadership Academy,High school,Q744,Elmhurst Educational Campus - Q,45-10 94Th Street,Tax Levy Lease,211,2736,Gymnasium,true,Inside,true,false
Q,24,24,24Q293,Civic Leadership Academy,High school,Q744,Elmhurst Educational Campus - Q,45-10 94Th Street,Tax Levy Lease,251,729,Weight Room,true,Inside,true,false
Q,24,24,24Q293,Civic Leadership Academy,High school,Q744,Elmhurst Educational Campus - Q,45-10 94Th Street,Tax Levy Lease,Outdoor Yard 1,44958,Outdoor Yard,true,Outdoor,true,false
Q,24,24,24Q296,Pan American International High School,High school,Q744,Elmhurst Educational Campus - Q,45-10 94Th Street,Tax Levy Lease,211,2736,Gymnasium,true,Inside,true,false
Q,24,24,24Q296,Pan American International High School,High school,Q744,Elmhurst Educational Campus - Q,45-10 94Th Street,Tax Levy Lease,251,729,Weight Room,true,Inside,true,false
Q,24,24,24Q296,Pan American International High School,High school,Q744,Elmhurst Educational Campus - Q,45-10 94Th Street,Tax Levy Lease,Outdoor Yard 1,44958,Outdoor Yard,true,Outdoor,true,false
Q,24,24,24Q299,Bard High School Early College Queens,High school,Q735,Queens High School Complex - Q,30-20 Thomson Avenue,Tax Levy Lease,408,1281,Weight Room,true,Inside,true,false
Q,24,24,24Q299,Bard High School Early College Queens,High school,Q735,Queens High School Complex - Q,30-20 Thomson Avenue,Tax Levy Lease,508,1342,Weight Room,true,Inside,true,false
Q,24,24,24Q299,Bard High School Early College Queens,High school,Q735,Queens High School Complex - Q,30-20 Thomson Avenue,Tax Levy Lease,608,1725,Dance Room,true,Inside,true,false
Q,24,24,24Q299,Bard High School Early College Queens,High school,Q735,Queens High School Complex - Q,30-20 Thomson Avenue,Tax Levy Lease,708,1702,Weight Room,true,Inside,true,false
Q,24,24,24Q299,Bard High School Early College Queens,High school,Q735,Queens High School Complex - Q,30-20 Thomson Avenue,Tax Levy Lease,716,768,Weight Room,true,Inside,true,false
Q,24,24,24Q305,Learners and Leaders,Elementary,Q245,P.S. 245 Ecc - Queens,378 Seneca Avenue,DOE Owned,Outdoor Yard 1,5857,Outdoor Yard,true,Outdoor,true,false
Q,24,24,24Q305,Learners and Leaders,Elementary,Q245,P.S. 245 Ecc - Queens,378 Seneca Avenue,DOE Owned,103,1265,Multi-Purpose Classroom,true,Inside,true,true
Q,24,24,24Q305,Learners and Leaders,Elementary,Q320,P.S. 320 - Queens,360 Seneca Avenue,DOE Owned,414,2760,Gymnasium/Auditorium,true,Inside,true,true
Q,24,24,24Q307,Pioneer Academy,Elementary,Q260,P.S. 307- Queens,40-20 100Th Street,DOE Owned,230,5307,Gymnasium,true,Inside,true,false
Q,24,24,24Q307,Pioneer Academy,Elementary,Q260,P.S. 307- Queens,40-20 100Th Street,DOE Owned,Outdoor Yard 1,9529,Outdoor Yard,true,Outdoor,true,false
